Comment,Designator,Footprint,LCSC,Quantity
R_LED,TP14,TestPoint_Pad_D3.0mm,,1
R_LED,TP5,TestPoint_Pad_D3.0mm,,1
R_LED,TP6,TestPoint_Pad_D3.0mm,,1
Gnd,TP20,TestPoint_Pad_4.0x4.0mm,,1
Gnd,TP19,TestPoint_Pad_4.0x4.0mm,,1
Gnd,TP18,TestPoint_Pad_4.0x4.0mm,,1
Gnd,TP17,TestPoint_Pad_4.0x4.0mm,,1
THT,D19,LED_D5.0mm,,1
0805,D20,LED_0805_2012Metric,,1
0603,D21,LED_0603_1608Metric,,1
220,R55,R_0805_2012Metric,,1
22k,R56,R_0805_2012Metric,,1
10k,R57,R_0805_2012Metric,,1
4.7k,R58,R_0805_2012Metric,,1
2.2k,R59,R_0805_2012Metric,,1
1k,R60,R_0805_2012Metric,,1
470,R61,R_0805_2012Metric,,1
220,R62,R_0805_2012Metric,,1
100,R63,R_0805_2012Metric,,1
SW_DIP_x08,SW7,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,,1
R_LED,TP15,TestPoint_Pad_D3.0mm,,1
THT,D22,LED_D5.0mm,,1
0805,D23,LED_0805_2012Metric,,1
0603,D24,LED_0603_1608Metric,,1
220,R64,R_0805_2012Metric,,1
22k,R65,R_0805_2012Metric,,1
10k,R66,R_0805_2012Metric,,1
4.7k,R67,R_0805_2012Metric,,1
2.2k,R68,R_0805_2012Metric,,1
1k,R69,R_0805_2012Metric,,1
470,R70,R_0805_2012Metric,,1
220,R71,R_0805_2012Metric,,1
100,R72,R_0805_2012Metric,,1
SW_DIP_x08,SW8,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,,1
R_LED,TP16,TestPoint_Pad_D3.0mm,,1
THT,D13,LED_D5.0mm,,1
0805,D14,LED_0805_2012Metric,,1
0603,D15,LED_0603_1608Metric,,1
220,R37,R_0805_2012Metric,,1
22k,R38,R_0805_2012Metric,,1
10k,R39,R_0805_2012Metric,,1
4.7k,R40,R_0805_2012Metric,,1
2.2k,R41,R_0805_2012Metric,,1
