Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,THT,LED_D5.0mm,114.5065,-101.6,0.0,top
D10,THT,LED_D5.0mm,179.3445,-101.6065,0.0,top
D11,0805,LED_0805_2012Metric,179.3495,-97.0345,0.0,top
D12,0603,LED_0603_1608Metric,179.3495,-95.0025,0.0,top
D13,THT,LED_D5.0mm,179.3545,-86.106,0.0,top
D14,0805,LED_0805_2012Metric,179.3495,-90.69325,0.0,top
D15,0603,LED_0603_1608Metric,179.3495,-92.72525,0.0,top
D16,THT,LED_D5.0mm,114.554,-86.106,0.0,top
D17,0805,LED_0805_2012Metric,114.549,-90.69325,0.0,top
D18,0603,LED_0603_1608Metric,114.549,-92.72525,0.0,top
D19,THT,LED_D5.0mm,136.154167,-86.106,0.0,top
D2,0805,LED_0805_2012Metric,114.5115,-97.028,0.0,top
D20,0805,LED_0805_2012Metric,136.149167,-90.69325,0.0,top
D21,0603,LED_0603_1608Metric,136.149167,-92.72525,0.0,top
D22,THT,LED_D5.0mm,157.754333,-86.106,0.0,top
D23,0805,LED_0805_2012Metric,157.749333,-90.69325,0.0,top
D24,0603,LED_0603_1608Metric,157.749333,-92.72525,0.0,top
D3,0603,LED_0603_1608Metric,114.5115,-94.996,0.0,top
D4,THT,LED_D5.0mm,136.119167,-101.6,0.0,top
D5,0805,LED_0805_2012Metric,136.124167,-97.028,0.0,top
D6,0603,LED_0603_1608Metric,136.124167,-94.996,0.0,top
D7,THT,LED_D5.0mm,157.731833,-101.6,0.0,top
D8,0805,LED_0805_2012Metric,157.736833,-97.028,0.0,top
D9,0603,LED_0603_1608Metric,157.736833,-94.996,0.0,top
J1,Vin A,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",202.1025,-113.543,90.0,top
J2,Vin B,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",202.3565,-73.919,90.0,top
JP66,Vin A / Vin B,PinHeader_1x02_P2.54mm_Vertical,202.184,-94.234,0.0,top
R1,220,R_0805_2012Metric,122.1315,-105.664,180.0,top
R10,220,R_0805_2012Metric,143.744167,-105.664,180.0,top
R11,22k,R_0805_2012Metric,143.744167,-108.204,180.0,top
R12,10k,R_0805_2012Metric,143.744167,-110.744,180.0,top
R13,4.7k,R_0805_2012Metric,143.744167,-113.284,180.0,top
R14,2.2k,R_0805_2012Metric,143.744167,-115.824,180.0,top
R15,1k,R_0805_2012Metric,143.744167,-118.364,180.0,top
R16,470,R_0805_2012Metric,143.744167,-120.904,180.0,top
R17,220,R_0805_2012Metric,143.744167,-123.444,180.0,top
R18,100,R_0805_2012Metric,143.744167,-125.984,180.0,top
R19,220,R_0805_2012Metric,165.356833,-105.664,180.0,top
R2,22k,R_0805_2012Metric,122.1315,-108.204,180.0,top
R20,22k,R_0805_2012Metric,165.356833,-108.204,180.0,top
R21,10k,R_0805_2012Metric,165.356833,-110.744,180.0,top
